Site,ServerName,IP address,Update Status,Update Date
RND,WinAppServer3,144.145.15.152,true,10-12-2024
GICT,WinAppServer1,22.83.28.18,true,24-04-2024
GICT,WinAppServer115,22.250.61.41,true,27-06-2023
GICT,WinAppServer10,161.115.188.200,true,08-05-2023
RND,WinAppServer3,190.82.216.83,true,02-06-2023
GICT,WinAppServer1,59.142.68.240,false,02-05-2024
PGMSB,WinAppServer3,187.186.18.150,true,24-09-2024
GICT,WinAppServer115,241.19.18.91,false,10-08-2023
GICT,WinAD4,52.213.7.132,true,30-03-2024
RND,WinAppServer10,20.48.179.31,false,21-01-2023
PGMSB,WinAppServer115,44.132.65.68,true,09-10-2023
PGMSB,WinAppServer115,67.178.152.130,false,28-05-2024
PGMSB,WinAppServer115,190.242.237.117,true,06-02-2023
PGMSB,WinAppDB5,6.17.139.235,false,23-04-2023
GICT,WinAppServer3,83.151.128.138,true,08-08-2024
PGMSB,WinAppServer115,195.53.229.152,true,19-01-2023
RND,WinAppServer10,138.116.68.164,true,31-07-2024
PGMSB,WinAD4,225.234.134.27,true,05-07-2024
GICT,WinAD4,115.144.246.65,true,30-08-2024
GICT,WinAppServer1,127.29.218.122,false,29-03-2024
PGMSB,WinAppDB5,124.6.207.151,false,24-02-2023
GICT,WinAD4,33.126.138.48,true,11-07-2023
GICT,WinAppServer3,243.217.31.1,false,19-04-2023
GICT,WinAD4,87.179.252.35,true,01-03-2023
RND,WinAppServer10,10.84.183.214,false,04-10-2024
PGMSB,WinAppServer3,224.242.134.252,false,13-06-2024
GICT,WinAppServer10,82.2.87.60,false,29-08-2024
RND,WinAppServer3,215.166.3.46,true,06-09-2023
RND,WinAppServer1,25.129.189.188,false,24-03-2024
PGMSB,WinAppServer115,88.30.76.5,false,11-06-2023
GICT,WinAppDB5,13.100.106.183,false,19-08-2024
RND,WinAppServer3,174.70.137.172,false,11-09-2023
GICT,WinAD4,197.125.65.44,true,14-04-2024
GICT,WinAppDB5,157.188.99.203,false,23-10-2023
GICT,WinAppServer115,172.58.213.46,false,01-05-2023
RND,WinAppServer10,122.104.162.66,true,21-05-2024
GICT,WinAppServer115,169.33.58.61,true,20-08-2023
GICT,WinAppServer3,75.234.247.88,true,25-07-2024
RND,WinAppServer115,222.21.61.18,false,24-11-2023
PGMSB,WinAppServer115,95.121.183.6,true,07-06-2024
GICT,WinAppServer115,97.139.128.182,false,28-02-2023
GICT,WinAppServer115,48.67.234.94,false,23-07-2024
PGMSB,WinAppServer10,222.160.219.208,false,19-06-2023
GICT,WinAppServer115,133.114.131.116,false,22-09-2023
PGMSB,WinAppServer1,21.201.97.48,true,25-10-2023
PGMSB,WinAppServer10,101.50.85.17,true,17-04-2024
GICT,WinAppServer1,75.47.241.35,false,12-01-2023
GICT,WinAppServer3,19.166.106.114,true,25-07-2023
GICT,WinAppServer115,107.221.205.89,true,09-09-2023
GICT,WinAppServer115,53.248.203.106,true,11-09-2023
GICT,WinAppServer1,218.128.60.72,false,11-11-2024
RND,WinAppServer10,161.57.184.10,false,17-05-2024
RND,WinAppServer3,99.141.79.255,false,13-11-2024
GICT,WinAD4,115.191.211.172,false,20-11-2023
GICT,WinAppServer10,72.91.198.31,true,29-05-2023
PGMSB,WinAD4,159.199.160.250,false,10-06-2023
RND,WinAppDB5,31.117.219.9,false,08-09-2024
RND,WinAD4,222.43.81.224,false,11-02-2023
RND,WinAppServer115,29.168.255.238,false,04-12-2023
RND,WinAppServer1,73.27.192.224,true,27-04-2023
PGMSB,WinAD4,101.58.105.169,true,07-06-2024
PGMSB,WinAppServer1,134.152.147.0,true,08-03-2024
PGMSB,WinAD4,17.63.48.33,true,21-08-2024
PGMSB,WinAD4,95.187.157.167,false,02-02-2023
GICT,WinAppServer115,227.90.50.56,true,13-09-2023
RND,WinAppServer3,157.22.47.137,true,04-04-2023
GICT,WinAppServer3,1.20.194.58,false,16-02-2024
GICT,WinAppDB5,210.246.196.129,false,18-11-2024
PGMSB,WinAppServer3,43.183.235.37,true,23-03-2023
PGMSB,WinAppServer3,55.139.166.2,false,07-09-2024
GICT,WinAD4,37.137.166.71,true,04-07-2024
GICT,WinAppServer10,158.217.106.253,true,15-10-2023
GICT,WinAppServer3,188.98.115.203,false,18-10-2024
GICT,WinAD4,49.76.56.40,false,28-01-2023
PGMSB,WinAD4,62.227.223.219,true,10-10-2024
GICT,WinAppServer10,171.43.62.201,false,31-08-2024
GICT,WinAppServer10,149.110.138.29,false,02-04-2023
PGMSB,WinAD4,115.157.82.193,true,05-09-2023
RND,WinAppServer115,134.229.249.202,true,26-02-2023
GICT,WinAppDB5,3.55.253.75,true,10-08-2024
GICT,WinAppServer10,214.84.96.153,true,02-11-2023
GICT,WinAppServer1,98.250.60.157,false,09-11-2023
PGMSB,WinAppServer3,106.82.209.149,false,11-03-2023
PGMSB,WinAD4,242.156.98.235,false,04-08-2023
PGMSB,WinAppDB5,0.91.84.11,true,11-03-2024
PGMSB,WinAD4,199.85.140.46,true,10-05-2023
PGMSB,WinAppServer1,234.131.58.102,false,25-04-2023
PGMSB,WinAppServer3,135.179.214.53,false,26-01-2024
PGMSB,WinAD4,174.107.118.189,false,24-04-2024
GICT,WinAppServer10,41.54.24.163,true,22-03-2024
GICT,WinAppServer3,157.59.152.213,true,08-02-2023
PGMSB,WinAppServer3,181.255.119.153,true,24-04-2023
RND,WinAppServer10,159.254.34.166,true,22-07-2023
GICT,WinAppDB5,67.126.96.200,false,02-12-2024
GICT,WinAppServer10,226.139.105.231,false,24-08-2023
PGMSB,WinAD4,187.178.94.68,false,04-07-2024
GICT,WinAppServer1,46.213.50.203,true,23-12-2023
RND,WinAppDB5,226.1.131.101,false,22-07-2024
GICT,WinAppDB5,206.208.64.247,true,26-09-2023
GICT,WinAD4,116.31.0.140,true,29-03-2023
GICT,WinAD4,239.16.8.213,true,14-03-2024
PGMSB,WinAD4,115.222.185.41,false,28-12-2023
GICT,WinAppServer115,177.188.65.129,false,24-03-2024
PGMSB,WinAD4,160.123.107.219,false,11-11-2024
PGMSB,WinAppServer1,134.251.94.190,false,15-03-2023
GICT,WinAppServer10,15.22.99.41,false,24-11-2024
GICT,WinAppServer115,61.24.232.126,false,15-05-2023
GICT,WinAppDB5,253.51.230.213,true,16-02-2023
PGMSB,WinAppServer10,87.46.166.106,true,22-01-2023
GICT,WinAD4,65.89.218.4,false,25-07-2023
PGMSB,WinAppDB5,133.40.167.83,true,25-10-2024
RND,WinAppServer10,156.231.187.217,false,22-03-2023
RND,WinAppServer115,183.101.76.33,true,11-02-2024
GICT,WinAppServer115,110.248.43.170,true,18-02-2023
GICT,WinAppDB5,4.120.240.169,false,18-07-2024
GICT,WinAppServer115,51.69.37.251,true,12-03-2024
GICT,WinAppDB5,28.223.46.62,true,12-08-2024
RND,WinAppDB5,201.172.223.86,true,05-08-2023
GICT,WinAppServer115,114.89.36.33,false,29-10-2024
PGMSB,WinAppServer10,121.49.254.134,false,05-01-2024
GICT,WinAD4,102.154.216.127,true,22-11-2023
PGMSB,WinAppServer3,115.87.176.8,true,17-12-2023
GICT,WinAppDB5,229.238.213.31,false,18-06-2024
GICT,WinAppServer115,136.137.81.184,true,27-04-2023
GICT,WinAppDB5,141.42.100.13,false,01-12-2023
PGMSB,WinAppServer115,2.208.228.44,true,21-09-2024
GICT,WinAD4,130.28.67.68,false,22-11-2023
RND,WinAppServer3,94.212.147.159,true,30-12-2024
PGMSB,WinAppDB5,141.125.171.140,false,17-11-2023
PGMSB,WinAppServer115,109.113.39.134,true,10-08-2023
PGMSB,WinAppServer115,78.3.209.50,true,27-02-2024
RND,WinAppDB5,138.117.225.178,true,19-01-2024
PGMSB,WinAppDB5,206.184.162.24,true,20-01-2023
RND,WinAppServer10,32.35.135.56,true,23-12-2023
GICT,WinAppServer10,132.95.202.80,false,24-04-2023
GICT,WinAD4,228.120.80.28,true,05-10-2024
RND,WinAD4,201.101.171.156,true,05-10-2024
PGMSB,WinAppServer115,119.62.213.197,false,14-09-2024
PGMSB,WinAppServer10,121.105.191.89,false,01-02-2024
GICT,WinAppServer3,33.155.141.212,true,30-01-2024
PGMSB,WinAppServer115,114.232.88.182,true,08-08-2023
RND,WinAppDB5,84.51.240.11,false,19-08-2023
GICT,WinAppServer115,220.97.43.152,true,10-10-2024
GICT,WinAppServer3,64.146.44.130,false,11-07-2023
GICT,WinAppServer1,135.48.118.12,true,04-04-2024
PGMSB,WinAppDB5,43.90.128.227,true,12-07-2024
RND,WinAppServer10,54.178.209.241,true,01-03-2024
RND,WinAppServer115,146.23.64.179,false,21-07-2023
GICT,WinAD4,77.85.218.222,true,19-10-2024
PGMSB,WinAppServer1,149.182.164.57,true,27-12-2023
GICT,WinAppServer3,32.210.76.17,false,22-04-2023
GICT,WinAppDB5,47.76.146.79,true,26-09-2024
PGMSB,WinAD4,214.75.131.232,false,06-07-2023
PGMSB,WinAppServer1,170.90.235.22,true,09-03-2024
RND,WinAppDB5,24.110.13.121,false,24-05-2024
RND,WinAppServer3,164.120.123.12,true,26-07-2023
GICT,WinAppDB5,29.244.247.241,false,27-12-2023
RND,WinAppServer1,116.63.28.144,true,23-03-2023
PGMSB,WinAppServer10,191.171.73.9,true,16-01-2024
GICT,WinAppServer1,141.73.5.76,true,29-10-2024
GICT,WinAppServer115,137.54.170.15,false,11-02-2024
PGMSB,WinAppServer115,93.168.186.44,true,06-01-2023
GICT,WinAppServer10,119.184.138.252,false,29-10-2023
PGMSB,WinAppServer1,97.219.162.30,true,18-07-2024
GICT,WinAppServer10,163.72.161.58,true,02-07-2024
PGMSB,WinAppDB5,225.181.241.164,false,16-06-2023
RND,WinAppServer10,88.81.196.55,true,27-03-2024
RND,WinAppServer10,191.171.174.242,true,11-08-2024
PGMSB,WinAppServer10,152.54.127.142,false,19-12-2024
GICT,WinAD4,13.216.4.138,true,13-05-2023
PGMSB,WinAppServer3,118.209.141.37,true,19-10-2023
GICT,WinAppServer1,157.6.9.248,false,11-11-2023
RND,WinAD4,6.18.121.58,false,21-09-2024
RND,WinAppServer1,252.163.242.150,false,03-04-2024
GICT,WinAppDB5,84.16.227.2,true,18-11-2024
GICT,WinAppServer1,198.37.218.114,true,30-11-2023
GICT,WinAppDB5,189.8.106.86,true,14-06-2024
RND,WinAppServer3,66.205.234.146,false,23-08-2023
GICT,WinAppDB5,123.189.24.142,true,30-05-2024
RND,WinAppServer1,216.235.222.61,false,29-01-2023
PGMSB,WinAppServer1,16.106.10.200,false,01-04-2024
PGMSB,WinAppServer115,219.166.16.192,false,29-05-2023
PGMSB,WinAppServer1,200.96.40.67,false,01-02-2024
GICT,WinAppDB5,206.31.146.39,true,21-02-2023
PGMSB,WinAppServer3,122.224.127.247,true,21-01-2024
RND,WinAppDB5,138.227.166.244,false,03-06-2024
GICT,WinAppDB5,119.11.128.27,false,05-02-2023
PGMSB,WinAppServer10,106.134.41.112,false,03-09-2024
RND,WinAppServer10,203.28.214.161,false,17-01-2023
GICT,WinAD4,29.16.92.161,false,09-11-2024
GICT,WinAD4,239.213.37.160,true,17-03-2024
GICT,WinAppDB5,194.101.93.21,true,30-05-2024
GICT,WinAppServer115,154.135.39.75,false,26-12-2024
PGMSB,WinAppServer1,105.3.115.16,false,19-11-2024
GICT,WinAppServer3,125.30.215.131,false,30-08-2023
PGMSB,WinAppDB5,52.60.67.63,true,08-09-2024
PGMSB,WinAppServer1,227.132.165.244,true,10-09-2024
RND,WinAppServer115,187.59.181.190,true,03-03-2024
PGMSB,WinAppServer1,192.70.118.139,false,27-06-2024
RND,WinAppDB5,75.10.176.153,true,08-07-2023
PGMSB,WinAppServer3,219.35.1.0,true,24-07-2023
PGMSB,WinAppServer1,115.161.133.212,true,11-03-2024
GICT,WinAppServer115,45.254.21.132,true,11-10-2023
GICT,WinAppServer1,40.71.239.1,false,29-06-2023
GICT,WinAppServer10,53.138.255.79,true,10-06-2024
PGMSB,WinAppServer115,199.229.68.7,false,21-08-2023
GICT,WinAppServer1,229.200.28.224,false,02-11-2024
GICT,WinAppDB5,12.149.37.110,true,01-06-2024
GICT,WinAppDB5,155.152.148.48,false,18-04-2024
GICT,WinAppServer10,193.95.193.129,true,02-04-2024
GICT,WinAppServer1,19.217.69.59,true,13-06-2023
GICT,WinAppServer10,172.58.105.253,true,04-07-2023
GICT,WinAD4,126.34.103.96,true,10-04-2023
GICT,WinAppDB5,90.121.233.211,false,16-02-2023
GICT,WinAD4,153.12.209.71,false,26-11-2023
GICT,WinAD4,50.42.34.230,true,15-06-2023
GICT,WinAD4,30.55.13.35,false,15-02-2024
PGMSB,WinAppServer10,17.53.38.122,true,02-05-2023
GICT,WinAppServer3,187.176.67.40,false,12-07-2024
RND,WinAD4,245.40.42.104,true,03-12-2023
RND,WinAppServer1,162.110.199.208,true,20-04-2023
GICT,WinAppDB5,185.40.147.118,false,26-02-2024
PGMSB,WinAppServer10,246.50.115.186,true,03-10-2023
GICT,WinAD4,174.68.180.160,true,18-06-2024
PGMSB,WinAppServer10,198.165.23.103,false,24-03-2023
GICT,WinAppServer10,31.117.231.247,false,25-01-2023
PGMSB,WinAppServer115,35.222.192.231,true,10-06-2024
GICT,WinAppDB5,200.85.192.8,false,29-06-2024
GICT,WinAppServer1,13.51.220.252,false,07-01-2023
GICT,WinAppServer10,243.224.158.225,false,12-11-2024
PGMSB,WinAppServer115,209.223.196.0,true,11-07-2024
GICT,WinAD4,238.94.223.46,true,12-01-2023
PGMSB,WinAppServer10,19.251.79.61,true,20-07-2024
GICT,WinAppServer10,187.43.63.13,false,07-11-2023
GICT,WinAD4,102.105.154.122,true,03-06-2023
GICT,WinAD4,77.191.139.241,false,13-04-2024
GICT,WinAppDB5,208.49.10.117,false,01-03-2024
PGMSB,WinAppDB5,212.63.13.227,true,21-08-2024
RND,WinAppServer115,136.98.116.153,true,04-06-2023
PGMSB,WinAppServer115,173.19.129.10,false,01-04-2024
GICT,WinAppServer1,211.79.206.92,false,30-07-2023
GICT,WinAppServer10,44.56.162.128,false,23-01-2023
RND,WinAppServer3,151.192.140.140,false,12-05-2024
GICT,WinAppServer115,162.96.208.238,true,03-12-2024
PGMSB,WinAppDB5,36.107.158.196,false,12-08-2024
GICT,WinAppDB5,82.54.251.234,true,07-12-2024
RND,WinAppServer3,234.1.7.113,false,18-09-2023
GICT,WinAD4,139.188.115.147,true,26-09-2023
GICT,WinAppServer10,83.187.252.204,true,09-03-2023
GICT,WinAppDB5,215.158.27.199,false,15-06-2023
GICT,WinAppServer1,129.179.55.92,true,30-11-2023
PGMSB,WinAppServer115,124.16.129.67,false,05-06-2024
GICT,WinAppServer10,112.208.173.4,false,23-03-2024
PGMSB,WinAppServer10,94.103.208.117,true,28-03-2023
PGMSB,WinAD4,108.208.250.68,true,06-10-2023
GICT,WinAppServer10,207.170.34.8,false,29-06-2024
GICT,WinAD4,208.89.138.231,false,15-12-2024
PGMSB,WinAD4,19.210.7.172,false,27-04-2023
GICT,WinAppServer1,151.19.58.187,true,07-04-2023
GICT,WinAppServer115,89.169.183.239,false,14-08-2024
RND,WinAppServer1,20.250.48.143,true,08-03-2024
PGMSB,WinAppServer3,71.67.185.194,true,29-03-2024
PGMSB,WinAppDB5,46.108.161.72,true,30-01-2024
GICT,WinAppServer115,120.108.79.114,true,29-02-2024
PGMSB,WinAppServer10,69.28.20.187,true,29-09-2024
PGMSB,WinAD4,19.191.252.57,false,21-10-2024
GICT,WinAppDB5,27.245.79.59,false,08-03-2023
PGMSB,WinAppServer115,214.246.44.119,true,19-08-2023
GICT,WinAppServer10,195.218.16.129,true,10-12-2024
RND,WinAD4,208.119.71.144,false,12-02-2023
GICT,WinAppDB5,159.10.37.206,true,04-08-2023
GICT,WinAppDB5,4.81.97.162,true,02-03-2023
GICT,WinAppServer115,117.13.82.86,true,08-06-2024
GICT,WinAppServer10,150.130.110.46,false,06-10-2024
PGMSB,WinAppDB5,24.123.50.29,false,08-07-2024
GICT,WinAD4,211.38.99.47,true,29-12-2023
GICT,WinAppServer115,37.51.232.234,true,13-03-2023
GICT,WinAppServer1,123.230.61.151,false,16-06-2024
PGMSB,WinAppServer3,161.248.210.226,false,07-08-2024
PGMSB,WinAD4,41.238.125.185,true,21-11-2023
PGMSB,WinAppServer3,70.127.213.111,true,30-04-2023
PGMSB,WinAppServer3,103.173.156.241,true,13-11-2023
GICT,WinAD4,150.245.92.103,false,29-07-2023
GICT,WinAppDB5,192.10.176.10,true,12-05-2023
GICT,WinAD4,234.135.165.244,false,11-05-2023
GICT,WinAppServer10,26.3.151.191,true,10-09-2024
PGMSB,WinAppServer1,159.67.12.61,false,21-09-2023
GICT,WinAppServer3,118.30.41.79,false,13-12-2024
PGMSB,WinAppDB5,101.166.35.89,true,08-11-2023
GICT,WinAppDB5,73.58.99.30,true,18-10-2023
GICT,WinAD4,94.65.106.149,false,15-07-2024
PGMSB,WinAppServer1,94.175.191.176,true,27-03-2023
PGMSB,WinAppServer3,50.243.192.230,false,03-07-2024
GICT,WinAppServer3,64.40.234.38,true,31-12-2023
GICT,WinAD4,121.38.211.106,false,19-09-2024
RND,WinAppServer3,132.189.48.59,true,26-11-2023
GICT,WinAppDB5,82.183.242.76,true,09-02-2023
GICT,WinAD4,47.111.218.185,false,21-04-2023
GICT,WinAppServer10,208.172.73.70,false,10-02-2024
GICT,WinAppDB5,162.197.189.88,true,18-09-2023
PGMSB,WinAppServer115,10.149.100.37,true,19-04-2024
GICT,WinAppServer10,85.43.248.187,false,02-02-2023
GICT,WinAppServer115,136.64.160.107,true,27-12-2023
GICT,WinAppServer10,71.117.119.59,false,05-11-2024
GICT,WinAppDB5,122.141.76.104,false,16-12-2023
GICT,WinAppServer3,84.81.11.216,false,17-08-2023
GICT,WinAppServer115,104.199.83.77,false,14-05-2024
GICT,WinAppServer1,162.181.82.102,true,21-11-2024
PGMSB,WinAppServer10,153.243.12.188,false,28-08-2023
PGMSB,WinAppServer10,13.89.59.104,true,12-06-2024
PGMSB,WinAD4,199.167.220.143,true,14-03-2024
GICT,WinAppServer1,54.43.254.224,false,03-05-2023
PGMSB,WinAppServer10,159.160.80.31,false,10-02-2023
GICT,WinAD4,83.31.169.238,true,19-11-2024
PGMSB,WinAppServer3,229.166.113.180,false,05-07-2024
PGMSB,WinAppServer3,235.133.68.17,false,23-10-2024
GICT,WinAppServer3,232.218.108.99,true,19-08-2023
GICT,WinAD4,34.207.181.181,true,22-12-2023
GICT,WinAD4,237.64.40.133,false,25-01-2023
RND,WinAppServer115,216.207.17.159,false,30-10-2024
GICT,WinAppServer3,152.24.191.111,false,01-06-2024
PGMSB,WinAppDB5,95.158.249.137,false,15-12-2023
PGMSB,WinAppServer10,182.42.32.254,true,30-11-2024
GICT,WinAppServer115,96.143.76.70,true,24-11-2024
PGMSB,WinAppServer115,88.101.45.157,false,21-08-2023
PGMSB,WinAppServer10,79.67.92.124,true,18-03-2024
PGMSB,WinAppServer3,123.230.86.248,true,14-12-2023
GICT,WinAppServer115,61.92.233.183,true,01-09-2024
GICT,WinAppDB5,109.16.115.63,false,01-08-2023
GICT,WinAppDB5,221.203.19.66,true,22-07-2024
GICT,WinAppServer115,208.251.76.66,true,27-12-2023
GICT,WinAppServer10,231.169.60.97,true,26-07-2024
PGMSB,WinAppServer1,239.217.205.119,true,07-10-2024
RND,WinAD4,211.123.86.123,false,19-07-2024
GICT,WinAppServer115,90.181.15.39,false,02-05-2024
RND,WinAppServer3,74.175.24.185,false,10-07-2024
GICT,WinAppServer115,102.39.72.90,false,19-12-2023
RND,WinAppServer10,242.23.70.179,true,07-02-2023
PGMSB,WinAppServer10,202.78.70.89,true,08-06-2023
RND,WinAppServer115,29.14.208.4,false,01-04-2023
PGMSB,WinAppServer115,170.244.151.4,true,15-07-2023
RND,WinAppServer115,121.91.154.33,false,05-04-2024
GICT,WinAD4,50.62.139.136,true,28-04-2024
GICT,WinAppDB5,87.34.29.200,false,25-02-2024
PGMSB,WinAppServer10,171.147.86.126,true,12-12-2023
PGMSB,WinAppServer1,249.113.29.73,false,05-03-2024
GICT,WinAppServer3,156.198.58.17,true,31-03-2024
GICT,WinAppServer1,228.40.8.2,true,23-02-2023
RND,WinAD4,11.31.35.102,true,12-08-2023
GICT,WinAppServer10,231.90.103.94,true,13-12-2023
GICT,WinAppDB5,100.108.139.202,false,23-05-2023
PGMSB,WinAD4,173.121.183.68,true,19-03-2024
PGMSB,WinAppServer3,77.51.66.83,false,02-11-2023
GICT,WinAppServer10,164.97.118.67,true,16-09-2024
PGMSB,WinAD4,190.228.132.227,false,15-01-2024
PGMSB,WinAppServer10,223.230.73.3,false,26-02-2023
RND,WinAppServer3,123.29.105.152,false,09-03-2024
GICT,WinAppServer10,179.224.21.229,false,24-11-2023
PGMSB,WinAppServer1,173.224.128.98,false,19-05-2024
GICT,WinAppServer115,29.123.45.242,false,24-02-2023
PGMSB,WinAD4,74.36.102.17,true,30-06-2024
GICT,WinAppServer1,198.126.254.43,false,31-12-2023
GICT,WinAD4,80.3.219.80,true,24-03-2023
GICT,WinAppServer115,201.239.229.103,true,09-04-2024
PGMSB,WinAD4,9.85.5.233,false,22-05-2024
RND,WinAD4,88.243.209.111,false,15-08-2023
GICT,WinAppServer115,226.20.14.27,false,07-08-2024
GICT,WinAppServer115,55.27.139.80,false,10-07-2024
GICT,WinAppServer10,19.95.39.70,true,26-10-2024
PGMSB,WinAppServer3,82.72.209.7,false,29-04-2023
GICT,WinAppServer10,26.21.44.56,true,05-01-2024
PGMSB,WinAppServer1,98.73.118.143,false,10-12-2023
GICT,WinAppServer10,218.126.6.62,false,18-10-2024
GICT,WinAppServer115,207.166.71.252,true,04-02-2024
