WindowServer872,Compliance,2023-10-14
WindowServer883,Compliance,2023-12-08
WindowServer894,Compliance,2024-01-16
WindowServer905,Compliance,2024-03-08
WindowServer916,NotCompliance,2023-09-01
WindowServer927,Compliance,2023-10-14
WindowServer938,NotCompliance,2023-12-08
WindowServer949,Compliance,2024-01-16
WindowServer950,Compliance,2024-03-08
WindowServer961,Compliance,2023-09-01
WindowServer972,Compliance,2023-10-14
WindowServer983,Compliance,2023-12-08
WindowServer994,Compliance,2024-01-16
WindowServer1005,Compliance,2024-03-08
WindowServer1016,NotCompliance,2023-09-01
WindowServer1027,NotCompliance,2023-10-14
WindowServer1038,NotCompliance,2023-12-08
WindowServer1049,NotCompliance,2024-01-16
WindowServer1050,NotCompliance,2024-03-08
WindowServer1061,NotCompliance,2023-09-01
WindowServer1072,NotCompliance,2023-10-14
WindowServer1083,NotCompliance,2023-12-08
WindowServer1094,NotCompliance,2024-01-16
WindowServer1105,NotCompliance,2024-03-08
WindowServer1116,NotCompliance,2023-09-01
WindowServer1127,NotCompliance,2023-10-14
WindowServer1138,NotCompliance,2023-12-08
WindowServer1149,NotCompliance,2024-01-16
WindowServer1150,NotCompliance,2024-03-08
WindowServer1161,NotCompliance,2023-09-01
WindowServer1172,NotCompliance,2023-10-14
WindowServer1183,NotCompliance,2023-12-08
WindowServer1194,Compliance,2024-01-16
WindowServer1205,Compliance,2024-03-08
WindowServer1216,NotCompliance,2023-09-01
WindowServer1227,NotCompliance,2023-10-14
WindowServer1238,Compliance,2023-12-08
WindowServer1249,NotCompliance,2024-01-16
WindowServer1250,NotCompliance,2024-03-08
WindowServer1261,Compliance,2023-09-01
WindowServer1272,Compliance,2023-10-14
WindowServer1283,NotCompliance,2023-12-08
WindowServer1294,NotCompliance,2024-01-16
WindowServer1305,NotCompliance,2024-03-08
WindowServer1316,NotCompliance,2023-09-01
WindowServer1327,Compliance,2023-10-14
WindowServer1338,NotCompliance,2023-12-08
WindowServer1349,NotCompliance,2024-01-16
WindowServer1350,Compliance,2024-03-08
WindowServer1361,NotCompliance,2023-09-01
WindowServer1372,Compliance,2023-10-14
WindowServer1383,NotCompliance,2023-12-08
WindowServer1394,Compliance,2024-01-16
WindowServer1405,NotCompliance,2024-03-08
WindowServer1416,Compliance,2023-09-01
WindowServer1427,Compliance,2023-10-14
WindowServer1438,Compliance,2023-12-08
WindowServer1450,Compliance,2024-03-08

hostname,patch_compliance,last_patch_date
Jalan Tun Razak,NotCompliance,2023-09-01
Jalan Kampung Attap,NotCompliance,2023-10-14
Jalan Tun Sambanthan,Compliance,2023-12-08
Jalan Tuanku Abdul Rahman,NotCompliance,2024-03-08
Jalan Sultan Ismail,Compliance,2023-09-01
Jalan Hang Lekiu,Compliance,2023-10-14
Jalan Hang Kasturi,NotCompliance,2023-12-08
Jalan Hang Jebat,NotCompliance,2024-01-16
Jalan Hang Tuah,NotCompliance,2024-03-08
Jalan Imbi,Compliance,2023-09-01
Jalan Galloway,NotCompliance,2023-10-14
Jalan Dang Wangi,NotCompliance,2023-12-08
Jalan Ampang,NotCompliance,2024-01-16
Jalan Masjid India,Compliance,2024-03-08
Jalan Hang Lekir,NotCompliance,2023-09-01
Jalan Hang Kasturi,NotCompliance,2023-10-14
Jalan Hang Kasturi,NotCompliance,2023-12-08
Jalan Hang Jebat,NotCompliance,2024-01-16
Jalan Hang Tuah,NotCompliance,2024-03-08
Jalan Tunku Abdul Rahman,NotCompliance,2023-09-01
Jalan Hang Lekir,NotCompliance,2023-10-14
Jalan Sultan Ismail,NotCompliance,2023-12-08
Jalan Hang Jebat,NotCompliance,2024-01-16
Jalan Tuanku Abdul Rahman,Compliance,2024-03-08
Jalan Ampang,NotCompliance,2023-09-01
Jalan Masjid India,NotCompliance,2023-10-14
Jalan Sultan Ismail,NotCompliance,2023-12-08
Jalan Tun Perak,NotCompliance,2024-01-16
Jalan Tun Sambanthan,NotCompliance,2024-03-08
Jalan Hang Lekir,NotCompliance,2023-09-01
Jalan Hang Kasturi,NotCompliance,2023-10-14
Jalan Hang Jebat,NotCompliance,2023-12-08
Jalan Hang Tuah,Compliance,2024-01-16
Jalan Tun Abdul Razak,NotCompliance,2024-03-08
Jalan Bukit Bintang,NotCompliance,2023-09-01
Jalan Sultan Ismail,Compliance,2023-10-14
Jalan Imbi,Compliance,2023-12-08
Jalan Ampang Hilir,NotCompliance,2024-01-16
Jalan Sultan Abdul Samad,NotCompliance,2024-03-08
Jalan Tun Razak,NotCompliance,2023-09-01
Jalan Hang Tuah,Compliance,2023-10-14
Jalan Chan Sow Lin,NotCompliance,2023-12-08
Jalan Sultan Ahmad Shah,NotCompliance,2024-01-16
Jalan Kepong,Compliance,2024-03-08
Jalan Ampang,NotCompliance,2023-09-01
Jalan Loke Yew,Compliance,2023-10-14
Jalan Tun Perak,NotCompliance,2023-12-08
Jalan Pudu,Compliance,2024-01-16
Jalan Hang Jebat,NotCompliance,2024-03-08
Jalan PJU 1A/1C,NotCompliance,2023-09-01
Jalan Sri Hartamas,NotCompliance,2023-10-14
Jalan Sultan Hishamuddin,NotCompliance,2023-12-08
Jalan Tunku Abdul Halim,NotCompliance,2024-01-16
Jalan PJU 1A/1,NotCompliance,2024-03-08
Jalan TAR,NotCompliance,2023-09-01
Jalan Sultan Yahya Petra,NotCompliance,2023-10-14
Jalan Kastam,NotCompliance,2023-12-08
Jalan Genting Klang,NotCompliance,2024-01-16
Jalan Pahang,NotCompliance,2024-03-08
Jalan Ipoh,NotCompliance,2023-09-01
Jalan Gombak,NotCompliance,2023-10-14
Jalan PJU 1A/1B,NotCompliance,2023-12-08
Jalan Puchong,NotCompliance,2024-01-16
Jalan Lembah Perdana,NotCompliance,2024-03-08
Jalan Syed Putra,NotCompliance,2023-09-01
Jalan Raja Chulan,NotCompliance,2023-10-14
Jalan Perak,NotCompliance,2023-12-08
Jalan Dutamas,NotCompliance,2024-01-16
Jalan Duta,NotCompliance,2024-03-08
Jalan Sultan Abdul Jalil,NotCompliance,2023-09-01
Jalan Pantai,NotCompliance,2023-10-14
Jalan Sultan Iskandar,NotCompliance,2023-12-08
Jalan Klang Lama,NotCompliance,2024-01-16
Jalan Kastam,NotCompliance,2023-12-08
Jalan Genting Klang,NotCompliance,2024-01-16
Jalan Sarawak,NotCompliance,2024-03-08
Jalan George Town,NotCompliance,2023-09-01
Jalan Longkang,NotCompliance,2023-10-14
Jalan PJU 15,NotCompliance,2023-12-08
Jalan Wong Ah Jek,NotCompliance,2024-01-16
Jalan Lembah Perlis,NotCompliance,2024-03-08
Jalan Syed Ali Rajah,NotCompliance,2023-09-01
Jalan Raja Besar,NotCompliance,2023-10-14
Jalan Kedah,NotCompliance,2023-12-08
Jalan Publikamas,NotCompliance,2024-01-16
Jalan Dato Azrul,NotCompliance,2024-03-08
Jalan TMJ,NotCompliance,2023-09-01
Jalan Udara,NotCompliance,2023-10-14
Jalan Ram Kapal Singh,NotCompliance,2023-12-08
Jalan Klang Utara Kiri,NotCompliance,2024-01-16
Jalan Pantai Udara,NotCompliance,2024-03-08
